dataset,year,method,rho,AS
PM,2022,S1,0.8,1.000000
PM,2022,S1,0.9,1.000000
PM,2022,S2,0.1,0.088636
PM,2022,S2,0.2,0.180966
PM,2022,S2,0.3,0.353417
PM,2022,S2,0.4,0.580420
PM,2022,S2,0.5,0.707670
PM,2022,S2,0.6,0.866922
PM,2022,S2,0.7,0.924557
PM,2022,S2,0.8,0.967425
PM,2022,S2,0.9,0.995455
PM,2022,M2,0.1,0.179236
PM,2022,M2,0.2,0.422644
PM,2022,M2,0.3,0.560401
PM,2022,M2,0.4,0.733474
PM,2022,M2,0.5,0.832426
PM,2022,M2,0.6,0.947727
PM,2022,M2,0.7,0.973191
PM,2022,M2,0.8,1.000000
PM,2022,M2,0.9,1.000000
PM,2022,M3,0.1,0.131825
PM,2022,M3,0.2,0.390494
PM,2022,M3,0.3,0.538507
PM,2022,M3,0.4,0.722385
PM,2022,M3,0.5,0.828051
PM,2022,M3,0.6,0.919064
PM,2022,M3,0.7,0.965107
PM,2022,M3,0.8,1.000000
PM,2022,M3,0.9,1.000000
PM,2022,RANDOM,0.1,0.133241
PM,2022,RANDOM,0.2,0.323385
PM,2022,RANDOM,0.3,0.439161
PM,2022,RANDOM,0.4,0.587910
PM,2022,RANDOM,0.5,0.683108
PM,2022,RANDOM,0.6,0.802444
PM,2022,RANDOM,0.7,0.868767
PM,2022,RANDOM,0.8,0.944070
PM,2022,RANDOM,0.9,0.980660
PM,2022,RANDOM_ALL_COMPULSORY,0.1,0.078605
PM,2022,RANDOM_ALL_COMPULSORY,0.2,0.200430
PM,2022,RANDOM_ALL_COMPULSORY,0.3,0.281623
PM,2022,RANDOM_ALL_COMPULSORY,0.4,0.398126
PM,2022,RANDOM_ALL_COMPULSORY,0.5,0.481966
PM,2022,RANDOM_ALL_COMPULSORY,0.6,0.602420
PM,2022,RANDOM_ALL_COMPULSORY,0.7,0.681609
PM,2022,RANDOM_ALL_COMPULSORY,0.8,0.797999
PM,2022,RANDOM_ALL_COMPULSORY,0.9,0.879315
PM,2022,NESTED_TIMING,0.1,0.185990
PM,2022,NESTED_TIMING,0.2,0.439481
PM,2022,NESTED_TIMING,0.3,0.582376
PM,2022,NESTED_TIMING,0.4,0.766147
PM,2022,NESTED_TIMING,0.5,0.875000
PM,2022,NESTED_TIMING,0.6,0.940909
PM,2022,NESTED_TIMING,0.7,0.977273
PM,2022,NESTED_TIMING,0.8,1.000000
PM,2022,NESTED_TIMING,0.9,1.000000
PM,2023,B0,0.1,0.067500
PM,2023,B0,0.2,0.185833
PM,2023,B0,0.3,0.275833
PM,2023,B0,0.4,0.507500
PM,2023,B0,0.5,0.587500
PM,2023,B0,0.6,0.701667
PM,2023,B0,0.7,0.730000
PM,2023,B0,0.8,0.835000
PM,2023,B0,0.9,0.960000
PM,2023,B1,0.1,0.137641
PM,2023,B1,0.2,0.337132
PM,2023,B1,0.3,0.463707
PM,2023,B1,0.4,0.656454
PM,2023,B1,0.5,0.784167
PM,2023,B1,0.6,0.878275
PM,2023,B1,0.7,0.940833
PM,2023,B1,0.8,0.995000
PM,2023,B1,0.9,1.000000
PM,2023,S1,0.1,0.137641
PM,2023,S1,0.2,0.337132
PM,2023,S1,0.3,0.463707
PM,2023,S1,0.4,0.656454
PM,2023,S1,0.5,0.784167
PM,2023,S1,0.6,0.874167
PM,2023,S1,0.7,0.940833
PM,2023,S1,0.8,0.995000
PM,2023,S1,0.9,1.000000
PM,2023,S2,0.1,0.125833
PM,2023,S2,0.2,0.159167
PM,2023,S2,0.3,0.225091
PM,2023,S2,0.4,0.417743
PM,2023,S2,0.5,0.538493
PM,2023,S2,0.6,0.706154
PM,2023,S2,0.7,0.814216
PM,2023,S2,0.8,0.926250
PM,2023,S2,0.9,0.972397
PM,2023,M2,0.1,0.137895
PM,2023,M2,0.2,0.335320
PM,2023,M2,0.3,0.460904
PM,2023,M2,0.4,0.644639
PM,2023,M2,0.5,0.761172
PM,2023,M2,0.6,0.848372
PM,2023,M2,0.7,0.909605
PM,2023,M2,0.8,0.995000
PM,2023,M2,0.9,1.000000
PM,2023,M3,0.1,0.135434
PM,2023,M3,0.2,0.332035
PM,2023,M3,0.3,0.459661
PM,2023,M3,0.4,0.640700
PM,2023,M3,0.5,0.758736
PM,2023,M3,0.6,0.879430
PM,2023,M3,0.7,0.940833
PM,2023,M3,0.8,0.983333
PM,2023,M3,0.9,1.000000
PM,2023,RANDOM,0.1,0.097123
PM,2023,RANDOM,0.2,0.243317
PM,2023,RANDOM,0.3,0.338087
PM,2023,RANDOM,0.4,0.474055
PM,2023,RANDOM,0.5,0.567117
PM,2023,RANDOM,0.6,0.691456
PM,2023,RANDOM,0.7,0.770753
PM,2023,RANDOM,0.8,0.877209
PM,2023,RANDOM,0.9,0.938280
PM,2023,RANDOM_ALL_COMPULSORY,0.1,0.076976
PM,2023,RANDOM_ALL_COMPULSORY,0.2,0.196469
PM,2023,RANDOM_ALL_COMPULSORY,0.3,0.275435
PM,2023,RANDOM_ALL_COMPULSORY,0.4,0.393461
PM,2023,RANDOM_ALL_COMPULSORY,0.5,0.476743
PM,2023,RANDOM_ALL_COMPULSORY,0.6,0.595119
PM,2023,RANDOM_ALL_COMPULSORY,0.7,0.673003
PM,2023,RANDOM_ALL_COMPULSORY,0.8,0.791069
PM,2023,RANDOM_ALL_COMPULSORY,0.9,0.869184
PM,2023,NESTED_TIMING,0.1,0.137641
PM,2023,NESTED_TIMING,0.2,0.337132
PM,2023,NESTED_TIMING,0.3,0.463707
PM,2023,NESTED_TIMING,0.4,0.656454
PM,2023,NESTED_TIMING,0.5,0.784167
PM,2023,NESTED_TIMING,0.6,0.874167
PM,2023,NESTED_TIMING,0.7,0.940833
PM,2023,NESTED_TIMING,0.8,0.995000
PM,2023,NESTED_TIMING,0.9,1.000000
PM,2024,B0,0.1,0.096667
PM,2024,B0,0.2,0.296667
PM,2024,B0,0.3,0.396667
PM,2024,B0,0.4,0.545833
PM,2024,B0,0.5,0.584167
PM,2024,B0,0.6,0.711667
PM,2024,B0,0.7,0.812500
PM,2024,B0,0.8,0.905833
PM,2024,B0,0.9,1.000000
PM,2024,B1,0.1,0.109482
PM,2024,B1,0.2,0.270383
PM,2024,B1,0.3,0.371528
PM,2024,B1,0.4,0.519697
PM,2024,B1,0.5,0.605833
PM,2024,B1,0.6,0.819043
PM,2024,B1,0.7,0.930083
PM,2024,B1,0.8,0.982500
PM,2024,B1,0.9,1.000000
PM,2024,S1,0.1,0.109482
PM,2024,S1,0.2,0.270383
PM,2024,S1,0.3,0.371528
PM,2024,S1,0.4,0.519697
PM,2024,S1,0.5,0.605833
PM,2024,S1,0.6,0.832500
PM,2024,S1,0.7,0.909167
PM,2024,S1,0.8,0.982500
PM,2024,S1,0.9,1.000000
PM,2024,S2,0.1,0.076992
PM,2024,S2,0.2,0.153893
PM,2024,S2,0.3,0.264158
PM,2024,S2,0.4,0.418602
PM,2024,S2,0.5,0.515598
PM,2024,S2,0.6,0.651936
PM,2024,S2,0.7,0.761813
PM,2024,S2,0.8,0.974167
PM,2024,S2,0.9,0.982500
PM,2024,M2,0.1,0.110951
PM,2024,M2,0.2,0.273223
PM,2024,M2,0.3,0.374568
PM,2024,M2,0.4,0.524212
PM,2024,M2,0.5,0.618985
PM,2024,M2,0.6,0.756228
PM,2024,M2,0.7,0.909167
PM,2024,M2,0.8,0.982500
PM,2024,M2,0.9,1.000000
PM,2024,M3,0.1,0.117227
PM,2024,M3,0.2,0.277646
PM,2024,M3,0.3,0.378464
PM,2024,M3,0.4,0.526140
PM,2024,M3,0.5,0.620466
PM,2024,M3,0.6,0.815232
PM,2024,M3,0.7,0.925000
PM,2024,M3,0.8,0.979667
PM,2024,M3,0.9,1.000000
PM,2024,RANDOM,0.1,0.098460
PM,2024,RANDOM,0.2,0.249639
PM,2024,RANDOM,0.3,0.347052
PM,2024,RANDOM,0.4,0.482573
PM,2024,RANDOM,0.5,0.578435
PM,2024,RANDOM,0.6,0.704879
PM,2024,RANDOM,0.7,0.787719
PM,2024,RANDOM,0.8,0.893662
PM,2024,RANDOM,0.9,0.953592
PM,2024,RANDOM_ALL_COMPULSORY,0.1,0.077891
PM,2024,RANDOM_ALL_COMPULSORY,0.2,0.199393
PM,2024,RANDOM_ALL_COMPULSORY,0.3,0.279716
PM,2024,RANDOM_ALL_COMPULSORY,0.4,0.396822
PM,2024,RANDOM_ALL_COMPULSORY,0.5,0.481943
PM,2024,RANDOM_ALL_COMPULSORY,0.6,0.600037
PM,2024,RANDOM_ALL_COMPULSORY,0.7,0.682198
PM,2024,RANDOM_ALL_COMPULSORY,0.8,0.798780
PM,2024,RANDOM_ALL_COMPULSORY,0.9,0.880518
PM,2024,NESTED_TIMING,0.1,0.109482
PM,2024,NESTED_TIMING,0.2,0.270383
PM,2024,NESTED_TIMING,0.3,0.371528
PM,2024,NESTED_TIMING,0.4,0.519697
PM,2024,NESTED_TIMING,0.5,0.605833
PM,2024,NESTED_TIMING,0.6,0.832500
PM,2024,NESTED_TIMING,0.7,0.909167
PM,2024,NESTED_TIMING,0.8,0.982500
PM,2024,NESTED_TIMING,0.9,1.000000
PM,2025,B0,0.1,0.179167
PM,2025,B0,0.2,0.263333
PM,2025,B0,0.3,0.364167
PM,2025,B0,0.4,0.536667
PM,2025,B0,0.5,0.607500
PM,2025,B0,0.6,0.765833
PM,2025,B0,0.7,0.803333
PM,2025,B0,0.8,0.923333
PM,2025,B0,0.9,0.986667
PM,2025,B1,0.1,0.127052
PM,2025,B1,0.2,0.314435
PM,2025,B1,0.3,0.436217
PM,2025,B1,0.4,0.613782
PM,2025,B1,0.5,0.704339
PM,2025,B1,0.6,0.814863
PM,2025,B1,0.7,0.888301
PM,2025,B1,0.8,0.953333
PM,2025,B1,0.9,1.000000
PM,2025,S1,0.1,0.127052
PM,2025,S1,0.2,0.314435
PM,2025,S1,0.3,0.436217
PM,2025,S1,0.4,0.613782
PM,2025,S1,0.5,0.699167
PM,2025,S1,0.6,0.802500
PM,2025,S1,0.7,0.886667
PM,2025,S1,0.8,0.983333
PM,2025,S1,0.9,1.000000
PM,2025,S2,0.1,0.115000
PM,2025,S2,0.2,0.210922
PM,2025,S2,0.3,0.332245
PM,2025,S2,0.4,0.507748
PM,2025,S2,0.5,0.619978
PM,2025,S2,0.6,0.781667
PM,2025,S2,0.7,0.828864
PM,2025,S2,0.8,0.929197
PM,2025,S2,0.9,0.986667
PM,2025,M2,0.1,0.126518
PM,2025,M2,0.2,0.312384
PM,2025,M2,0.3,0.430783
PM,2025,M2,0.4,0.599507
PM,2025,M2,0.5,0.699167
PM,2025,M2,0.6,0.797280
PM,2025,M2,0.7,0.886667
PM,2025,M2,0.8,0.983333
PM,2025,M2,0.9,1.000000
PM,2025,M3,0.1,0.121961
PM,2025,M3,0.2,0.308301
PM,2025,M3,0.3,0.427067
PM,2025,M3,0.4,0.596066
PM,2025,M3,0.5,0.699167
PM,2025,M3,0.6,0.802500
PM,2025,M3,0.7,0.875076
PM,2025,M3,0.8,0.977792
PM,2025,M3,0.9,1.000000
PM,2025,RANDOM,0.1,0.099727
PM,2025,RANDOM,0.2,0.249653
PM,2025,RANDOM,0.3,0.348307
PM,2025,RANDOM,0.4,0.482183
PM,2025,RANDOM,0.5,0.576290
PM,2025,RANDOM,0.6,0.700103
PM,2025,RANDOM,0.7,0.782747
PM,2025,RANDOM,0.8,0.888055
PM,2025,RANDOM,0.9,0.949231
PM,2025,RANDOM_ALL_COMPULSORY,0.1,0.078793
PM,2025,RANDOM_ALL_COMPULSORY,0.2,0.199280
PM,2025,RANDOM_ALL_COMPULSORY,0.3,0.281036
PM,2025,RANDOM_ALL_COMPULSORY,0.4,0.396066
PM,2025,RANDOM_ALL_COMPULSORY,0.5,0.480834
PM,2025,RANDOM_ALL_COMPULSORY,0.6,0.598894
PM,2025,RANDOM_ALL_COMPULSORY,0.7,0.681286
PM,2025,RANDOM_ALL_COMPULSORY,0.8,0.798220
PM,2025,RANDOM_ALL_COMPULSORY,0.9,0.878636
PM,2025,NESTED_TIMING,0.1,0.127052
PM,2025,NESTED_TIMING,0.2,0.314435
PM,2025,NESTED_TIMING,0.3,0.436217
PM,2025,NESTED_TIMING,0.4,0.613782
PM,2025,NESTED_TIMING,0.5,0.699167
PM,2025,NESTED_TIMING,0.6,0.802500
PM,2025,NESTED_TIMING,0.7,0.886667
PM,2025,NESTED_TIMING,0.8,0.983333
PM,2025,NESTED_TIMING,0.9,1.000000
PM,2026,B0,0.1,0.127500
PM,2026,B0,0.2,0.190833
PM,2026,B0,0.3,0.274167
PM,2026,B0,0.4,0.380833
PM,2026,B0,0.5,0.432500
PM,2026,B0,0.6,0.564167
PM,2026,B0,0.7,0.743333
PM,2026,B0,0.8,0.850000
PM,2026,B0,0.9,0.912500
PM,2026,B1,0.1,0.124228
PM,2026,B1,0.2,0.306984
PM,2026,B1,0.3,0.422543
PM,2026,B1,0.4,0.590947
PM,2026,B1,0.5,0.683105
PM,2026,B1,0.6,0.793934
PM,2026,B1,0.7,0.878832
PM,2026,B1,0.8,0.975000
PM,2026,B1,0.9,0.993333
PM,2026,S1,0.1,0.124228
PM,2026,S1,0.2,0.306984
PM,2026,S1,0.3,0.422543
PM,2026,S1,0.4,0.590947
PM,2026,S1,0.5,0.667500
PM,2026,S1,0.6,0.776667
PM,2026,S1,0.7,0.868333
PM,2026,S1,0.8,0.966667
PM,2026,S1,0.9,0.993333
