dataset,year,method,rho,AS
PHY,2025,RANDOM_ALL_COMPULSORY,0.7,0.691805
PHY,2025,RANDOM_ALL_COMPULSORY,0.8,0.792724
PHY,2025,RANDOM_ALL_COMPULSORY,0.9,0.893352
PHY,2025,NESTED_TIMING,0.1,0.405792
PHY,2025,NESTED_TIMING,0.2,0.757354
PHY,2025,NESTED_TIMING,0.3,0.914000
PHY,2025,NESTED_TIMING,0.4,0.925061
PHY,2025,NESTED_TIMING,0.5,0.973000
PHY,2025,NESTED_TIMING,0.6,1.000000
PHY,2025,NESTED_TIMING,0.7,1.000000
PHY,2025,NESTED_TIMING,0.8,1.000000
PHY,2025,NESTED_TIMING,0.9,1.000000
PHY,2026,B0,0.1,0.236500
PHY,2026,B0,0.2,0.522500
PHY,2026,B0,0.3,0.692000
PHY,2026,B0,0.4,0.791500
PHY,2026,B0,0.5,0.877500
PHY,2026,B0,0.6,0.877500
PHY,2026,B0,0.7,0.900000
PHY,2026,B0,0.8,1.000000
PHY,2026,B0,0.9,1.000000
PHY,2026,B1,0.1,0.299165
PHY,2026,B1,0.2,0.571500
PHY,2026,B1,0.3,0.828000
PHY,2026,B1,0.4,0.893415
PHY,2026,B1,0.5,0.932100
PHY,2026,B1,0.6,0.987530
PHY,2026,B1,0.7,1.000000
PHY,2026,B1,0.8,1.000000
PHY,2026,B1,0.9,1.000000
PHY,2026,S1,0.1,0.299165
PHY,2026,S1,0.2,0.635500
PHY,2026,S1,0.3,0.783500
PHY,2026,S1,0.4,0.875500
PHY,2026,S1,0.5,0.893000
PHY,2026,S1,0.6,0.957500
PHY,2026,S1,0.7,1.000000
PHY,2026,S1,0.8,1.000000
PHY,2026,S1,0.9,1.000000
PHY,2026,S2,0.1,0.117500
PHY,2026,S2,0.2,0.185402
PHY,2026,S2,0.3,0.321143
PHY,2026,S2,0.4,0.640122
PHY,2026,S2,0.5,0.840637
PHY,2026,S2,0.6,0.972662
PHY,2026,S2,0.7,0.986451
PHY,2026,S2,0.8,1.000000
PHY,2026,S2,0.9,1.000000
PHY,2026,M2,0.1,0.324015
PHY,2026,M2,0.2,0.609349
PHY,2026,M2,0.3,0.733500
PHY,2026,M2,0.4,0.912000
PHY,2026,M2,0.5,0.912000
PHY,2026,M2,0.6,1.000000
PHY,2026,M2,0.7,1.000000
PHY,2026,M2,0.8,1.000000
PHY,2026,M2,0.9,1.000000
PHY,2026,M3,0.1,0.299165
PHY,2026,M3,0.2,0.571500
PHY,2026,M3,0.3,0.828000
PHY,2026,M3,0.4,0.896744
PHY,2026,M3,0.5,0.972000
PHY,2026,M3,0.6,0.975500
PHY,2026,M3,0.7,1.000000
PHY,2026,M3,0.8,1.000000
PHY,2026,M3,0.9,1.000000
PHY,2026,RANDOM,0.1,0.154881
PHY,2026,RANDOM,0.2,0.358263
PHY,2026,RANDOM,0.3,0.525593
PHY,2026,RANDOM,0.4,0.668296
PHY,2026,RANDOM,0.5,0.794434
PHY,2026,RANDOM,0.6,0.861727
PHY,2026,RANDOM,0.7,0.940626
PHY,2026,RANDOM,0.8,0.984668
PHY,2026,RANDOM,0.9,0.999075
PHY,2026,RANDOM_ALL_COMPULSORY,0.1,0.077591
PHY,2026,RANDOM_ALL_COMPULSORY,0.2,0.186554
PHY,2026,RANDOM_ALL_COMPULSORY,0.3,0.289265
PHY,2026,RANDOM_ALL_COMPULSORY,0.4,0.393735
PHY,2026,RANDOM_ALL_COMPULSORY,0.5,0.502462
PHY,2026,RANDOM_ALL_COMPULSORY,0.6,0.576795
PHY,2026,RANDOM_ALL_COMPULSORY,0.7,0.689133
PHY,2026,RANDOM_ALL_COMPULSORY,0.8,0.790177
PHY,2026,RANDOM_ALL_COMPULSORY,0.9,0.892429
PHY,2026,NESTED_TIMING,0.1,0.324015
PHY,2026,NESTED_TIMING,0.2,0.609349
PHY,2026,NESTED_TIMING,0.3,0.733500
PHY,2026,NESTED_TIMING,0.4,0.912000
PHY,2026,NESTED_TIMING,0.5,0.912000
PHY,2026,NESTED_TIMING,0.6,1.000000
PHY,2026,NESTED_TIMING,0.7,1.000000
PHY,2026,NESTED_TIMING,0.8,1.000000
PHY,2026,NESTED_TIMING,0.9,1.000000
