dataset,year,method,rho,AS
PHY,2014,RANDOM_ALL_COMPULSORY,0.6,0.574540
PHY,2014,RANDOM_ALL_COMPULSORY,0.7,0.687795
PHY,2014,RANDOM_ALL_COMPULSORY,0.8,0.787101
PHY,2014,RANDOM_ALL_COMPULSORY,0.9,0.888577
PHY,2014,NESTED_TIMING,0.1,0.246397
PHY,2014,NESTED_TIMING,0.2,0.541390
PHY,2014,NESTED_TIMING,0.3,0.773765
PHY,2014,NESTED_TIMING,0.4,0.909000
PHY,2014,NESTED_TIMING,0.5,0.935303
PHY,2014,NESTED_TIMING,0.6,0.944000
PHY,2014,NESTED_TIMING,0.7,1.000000
PHY,2014,NESTED_TIMING,0.8,1.000000
PHY,2014,NESTED_TIMING,0.9,1.000000
PHY,2015,B0,0.1,0.097500
PHY,2015,B0,0.2,0.318500
PHY,2015,B0,0.3,0.499500
PHY,2015,B0,0.4,0.600750
PHY,2015,B0,0.5,0.755750
PHY,2015,B0,0.6,0.849000
PHY,2015,B0,0.7,0.950250
PHY,2015,B0,0.8,1.000000
PHY,2015,B0,0.9,1.000000
PHY,2015,B1,0.1,0.177003
PHY,2015,B1,0.2,0.409831
PHY,2015,B1,0.3,0.558990
PHY,2015,B1,0.4,0.673755
PHY,2015,B1,0.5,0.803405
PHY,2015,B1,0.6,0.892935
PHY,2015,B1,0.7,0.955000
PHY,2015,B1,0.8,1.000000
PHY,2015,B1,0.9,1.000000
PHY,2015,S1,0.1,0.177003
PHY,2015,S1,0.2,0.409831
PHY,2015,S1,0.3,0.582500
PHY,2015,S1,0.4,0.714250
PHY,2015,S1,0.5,0.780000
PHY,2015,S1,0.6,0.872500
PHY,2015,S1,0.7,0.947500
PHY,2015,S1,0.8,0.982500
PHY,2015,S1,0.9,1.000000
PHY,2015,S2,0.1,0.140250
PHY,2015,S2,0.2,0.297953
PHY,2015,S2,0.3,0.413250
PHY,2015,S2,0.4,0.608246
PHY,2015,S2,0.5,0.809250
PHY,2015,S2,0.6,0.882500
PHY,2015,S2,0.7,0.961325
PHY,2015,S2,0.8,1.000000
PHY,2015,S2,0.9,1.000000
PHY,2015,M2,0.1,0.199479
PHY,2015,M2,0.2,0.444334
PHY,2015,M2,0.3,0.629792
PHY,2015,M2,0.4,0.757750
PHY,2015,M2,0.5,0.831250
PHY,2015,M2,0.6,0.872443
PHY,2015,M2,0.7,0.965000
PHY,2015,M2,0.8,0.965000
PHY,2015,M2,0.9,1.000000
PHY,2015,M3,0.1,0.246916
PHY,2015,M3,0.2,0.454315
PHY,2015,M3,0.3,0.681750
PHY,2015,M3,0.4,0.752500
PHY,2015,M3,0.5,0.780000
PHY,2015,M3,0.6,0.901750
PHY,2015,M3,0.7,0.959950
PHY,2015,M3,0.8,0.982500
PHY,2015,M3,0.9,1.000000
PHY,2015,RANDOM,0.1,0.138112
PHY,2015,RANDOM,0.2,0.322370
PHY,2015,RANDOM,0.3,0.476322
PHY,2015,RANDOM,0.4,0.613904
PHY,2015,RANDOM,0.5,0.730359
PHY,2015,RANDOM,0.6,0.810873
PHY,2015,RANDOM,0.7,0.904201
PHY,2015,RANDOM,0.8,0.965433
PHY,2015,RANDOM,0.9,0.995031
PHY,2015,RANDOM_ALL_COMPULSORY,0.1,0.077047
PHY,2015,RANDOM_ALL_COMPULSORY,0.2,0.185582
PHY,2015,RANDOM_ALL_COMPULSORY,0.3,0.290906
PHY,2015,RANDOM_ALL_COMPULSORY,0.4,0.397827
PHY,2015,RANDOM_ALL_COMPULSORY,0.5,0.500801
PHY,2015,RANDOM_ALL_COMPULSORY,0.6,0.579705
PHY,2015,RANDOM_ALL_COMPULSORY,0.7,0.688170
PHY,2015,RANDOM_ALL_COMPULSORY,0.8,0.788282
PHY,2015,RANDOM_ALL_COMPULSORY,0.9,0.894358
PHY,2015,NESTED_TIMING,0.1,0.246916
PHY,2015,NESTED_TIMING,0.2,0.454315
PHY,2015,NESTED_TIMING,0.3,0.681750
PHY,2015,NESTED_TIMING,0.4,0.752500
PHY,2015,NESTED_TIMING,0.5,0.780000
PHY,2015,NESTED_TIMING,0.6,0.901750
PHY,2015,NESTED_TIMING,0.7,0.959950
PHY,2015,NESTED_TIMING,0.8,0.982500
PHY,2015,NESTED_TIMING,0.9,1.000000
PHY,2016,B0,0.1,0.165000
PHY,2016,B0,0.2,0.321000
PHY,2016,B0,0.3,0.404250
PHY,2016,B0,0.4,0.599500
PHY,2016,B0,0.5,0.674500
PHY,2016,B0,0.6,0.818500
PHY,2016,B0,0.7,0.877250
PHY,2016,B0,0.8,1.000000
PHY,2016,B0,0.9,1.000000
PHY,2016,B1,0.1,0.190838
PHY,2016,B1,0.2,0.448500
PHY,2016,B1,0.3,0.639250
PHY,2016,B1,0.4,0.703091
PHY,2016,B1,0.5,0.775000
PHY,2016,B1,0.6,0.846639
PHY,2016,B1,0.7,1.000000
PHY,2016,B1,0.8,1.000000
